Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,113,DET,Derrick Barnes,DE,22,2023,0,0,0,10,10,48,0,0,0,0,0,0,0,0,0,0,0,111,,4.0,Purdue,College Stats,BarnDe02
4,114,ATL,Drew Dalman,C,22,2023,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,1,,,Stanford,College Stats,DalmDr00
4,115,DAL,Jabril Cox,LB,23,2023,0,0,0,3,2,26,0,0,0,0,0,0,0,0,0,0,0,7,,,LSU,College Stats,CoxxJa00
4,116,NYG,Elerson Smith,DL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,3,,,Northern Iowa,,SmitEl00
4,117,LAR,Bobby Brown,DL,21,2023,0,0,0,7,7,32,0,0,0,0,0,0,0,0,0,0,0,21,,0.5,Texas A&M,College Stats,BrowBo04
4,118,LAC,Chris Rumph,DE,22,2023,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,19,,3.0,Duke,College Stats,RumpCh00
4,119,MIN,Kene Nwangwu,RB,23,2023,0,0,0,3,3,37,0,0,0,0,0,27,88,0,6,30,0,4,,,Iowa St.,College Stats,NwanKe00
4,120,NWE,Rhamondre Stevenson,RB,23,2023,0,0,0,17,17,41,0,0,0,0,0,499,2265,14,121,782,1,3,,,Oklahoma,College Stats,StevRh00
4,121,JAX,Jordan Smith,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham,College Stats,SmitJo03
4,122,CIN,Tyler Shelvin,DT,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats,ShelTy00
4,123,PHI,Zech McPhearson,DB,23,2022,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,19,,1.0,Texas Tech,College Stats,McPhZe00
4,124,WAS,John Bates,TE,23,2023,0,0,0,4,4,50,0,0,0,0,0,0,0,0,53,508,2,4,,,Boise St.,College Stats,BateJo00
4,125,MIN,Camryn Bynum,CB,23,2023,0,0,1,14,14,48,0,0,0,0,0,0,0,0,0,0,0,163,5,1.5,California,College Stats,BynuCa00
4,126,CAR,Chuba Hubbard,RB,22,2023,0,0,0,14,14,49,0,0,0,0,0,505,1980,12,78,578,1,4,,,Oklahoma St.,College Stats,HubbCh01
4,127,IND,Kylen Granson,TE,23,2023,0,0,0,6,6,45,0,0,0,0,0,2,2,0,72,776,1,6,,,SMU,College Stats,GranKy00
4,128,PIT,Dan Moore,OL,22,2023,0,0,2,21,21,49,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MoorDa05
